id,title,scheme
oefos:207110,Technical environmental protection,oefos
oefos:207111,Environmental engineering,oefos
oefos:207112,Water treatment,oefos
oefos:207113,Water infrastructure,oefos
oefos:207114,Water management,oefos
oefos:207201,Soil mechanics,oefos
oefos:207202,Earthworks,oefos
oefos:207203,Rock mechanics,oefos
oefos:207204,Geotechnics,oefos
oefos:207205,Foundation engineering,oefos
oefos:207206,Engineering geology,oefos
oefos:207207,Tunnelling,oefos
oefos:207208,Tunnel ventilation,oefos
oefos:207301,Processing of mineral raw materials,oefos
oefos:207302,Mining engineering,oefos
oefos:207303,Mining damage,oefos
oefos:207304,Natural gas production,oefos
oefos:207305,Natural gas engineering,oefos
oefos:207306,Petroleum geology,oefos
oefos:207307,Petroleum production,oefos
oefos:207308,Petroleum engineering,oefos
oefos:207309,History of mining,oefos
oefos:207310,Extraction of mineral raw materials,oefos
oefos:207311,Economic geology,oefos
oefos:207312,Mine surveying,oefos
oefos:207313,Drilling engineering,oefos
oefos:207314,Underground mining,oefos
oefos:207401,3D-surveying,oefos
oefos:207402,Remote sensing,oefos
oefos:207403,Geodesy,oefos
oefos:207405,Engineering geodesy,oefos
oefos:207407,Cadastral surveying,oefos
oefos:207408,Land surveying,oefos
oefos:207409,Navigation systems,oefos
oefos:207410,Photogrammetry,oefos
oefos:207411,Satellite geodesy,oefos
oefos:207412,Satellite-based coordinate measuring,oefos
oefos:207413,Surveying,oefos
oefos:207901,Offshore technology,oefos
oefos:207902,Computational geosciences,oefos
oefos:208001,Bioremediation,oefos
oefos:208002,Environmental biotechnology related ethics,oefos
oefos:208003,Environmental biotechnology,oefos
oefos:209001,Biocatalysis,oefos
oefos:209002,Bioprocess technology,oefos
oefos:209003,Biofuels,oefos
oefos:209004,Enzyme technology,oefos
oefos:209006,Industrial biotechnology,oefos
oefos:210001,Nanoanalytics,oefos
oefos:210002,Nanobiotechnology,oefos
oefos:210003,Nanoelectronics,oefos
oefos:210004,Nanomaterials,oefos
oefos:210005,Nanophotonics,oefos
oefos:210006,Nanotechnology,oefos
oefos:211101,Iron and steel metallurgy,oefos
oefos:211102,Casting technology,oefos
oefos:211103,Physical metallurgy,oefos
oefos:211104,Metallurgy,oefos
oefos:211105,Nonferrous metallurgy,oefos
oefos:211106,Light metals,oefos
oefos:211107,Secondary metallurgy,oefos
oefos:211201,Grain technology,oefos
oefos:211202,Food technology,oefos
oefos:211203,Food processing engineering,oefos
oefos:211204,Meat technology,oefos
oefos:211901,Waste prevention,oefos
oefos:211902,Assistive technologies,oefos
oefos:211903,Science of management,oefos
