id,title,url
ECL-2.0,Educational Community License v2.0,http://spdx.org/licenses/ECL-2.0.json
EFL-1.0,Eiffel Forum License v1.0,http://spdx.org/licenses/EFL-1.0.json
EFL-2.0,Eiffel Forum License v2.0,http://spdx.org/licenses/EFL-2.0.json
EPICS,EPICS Open License,http://spdx.org/licenses/EPICS.json
EPL-1.0,Eclipse Public License 1.0,http://spdx.org/licenses/EPL-1.0.json
EPL-2.0,Eclipse Public License 2.0,http://spdx.org/licenses/EPL-2.0.json
EUDatagrid,EU DataGrid Software License,http://spdx.org/licenses/EUDatagrid.json
EUPL-1.0,European Union Public License 1.0,http://spdx.org/licenses/EUPL-1.0.json
EUPL-1.1,European Union Public License 1.1,http://spdx.org/licenses/EUPL-1.1.json
EUPL-1.2,European Union Public License 1.2,http://spdx.org/licenses/EUPL-1.2.json
Entessa,Entessa Public License v1.0,http://spdx.org/licenses/Entessa.json
ErlPL-1.1,Erlang Public License v1.1,http://spdx.org/licenses/ErlPL-1.1.json
Eurosym,Eurosym License,http://spdx.org/licenses/Eurosym.json
FSFAP,FSF All Permissive License,http://spdx.org/licenses/FSFAP.json
FSFUL,FSF Unlimited License,http://spdx.org/licenses/FSFUL.json
FSFULLR,FSF Unlimited License (with License Retention),http://spdx.org/licenses/FSFULLR.json
FTL,Freetype Project License,http://spdx.org/licenses/FTL.json
Fair,Fair License,http://spdx.org/licenses/Fair.json
Frameworx-1.0,Frameworx Open License 1.0,http://spdx.org/licenses/Frameworx-1.0.json
FreeImage,FreeImage Public License v1.0,http://spdx.org/licenses/FreeImage.json
GFDL-1.1,GNU Free Documentation License v1.1,http://spdx.org/licenses/GFDL-1.1.json
GFDL-1.1-invariants-only,GNU Free Documentation License v1.1 only - invariants,http://spdx.org/licenses/GFDL-1.1-invariants-only.json
GFDL-1.1-invariants-or-later,GNU Free Documentation License v1.1 or later - invariants,http://spdx.org/licenses/GFDL-1.1-invariants-or-later.json
GFDL-1.1-no-invariants-only,GNU Free Documentation License v1.1 only - no invariants,http://spdx.org/licenses/GFDL-1.1-no-invariants-only.json
GFDL-1.1-no-invariants-or-later,GNU Free Documentation License v1.1 or later - no invariants,http://spdx.org/licenses/GFDL-1.1-no-invariants-or-later.json
GFDL-1.1-only,GNU Free Documentation License v1.1 only,http://spdx.org/licenses/GFDL-1.1-only.json
GFDL-1.1-or-later,GNU Free Documentation License v1.1 or later,http://spdx.org/licenses/GFDL-1.1-or-later.json
GFDL-1.2,GNU Free Documentation License v1.2,http://spdx.org/licenses/GFDL-1.2.json
GFDL-1.2-invariants-only,GNU Free Documentation License v1.2 only - invariants,http://spdx.org/licenses/GFDL-1.2-invariants-only.json
GFDL-1.2-invariants-or-later,GNU Free Documentation License v1.2 or later - invariants,http://spdx.org/licenses/GFDL-1.2-invariants-or-later.json
GFDL-1.2-no-invariants-only,GNU Free Documentation License v1.2 only - no invariants,http://spdx.org/licenses/GFDL-1.2-no-invariants-only.json
GFDL-1.2-no-invariants-or-later,GNU Free Documentation License v1.2 or later - no invariants,http://spdx.org/licenses/GFDL-1.2-no-invariants-or-later.json
GFDL-1.2-only,GNU Free Documentation License v1.2 only,http://spdx.org/licenses/GFDL-1.2-only.json
GFDL-1.2-or-later,GNU Free Documentation License v1.2 or later,http://spdx.org/licenses/GFDL-1.2-or-later.json
GFDL-1.3,GNU Free Documentation License v1.3,http://spdx.org/licenses/GFDL-1.3.json
GFDL-1.3-invariants-only,GNU Free Documentation License v1.3 only - invariants,http://spdx.org/licenses/GFDL-1.3-invariants-only.json
GFDL-1.3-invariants-or-later,GNU Free Documentation License v1.3 or later - invariants,http://spdx.org/licenses/GFDL-1.3-invariants-or-later.json
GFDL-1.3-no-invariants-only,GNU Free Documentation License v1.3 only - no invariants,http://spdx.org/licenses/GFDL-1.3-no-invariants-only.json
GFDL-1.3-no-invariants-or-later,GNU Free Documentation License v1.3 or later - no invariants,http://spdx.org/licenses/GFDL-1.3-no-invariants-or-later.json
GFDL-1.3-only,GNU Free Documentation License v1.3 only,http://spdx.org/licenses/GFDL-1.3-only.json
